;;;;;;;;;;;;;Cores;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;Speed-up Ideal;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;Todos os resultados;Cores;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;63,196204;419,256226;2990,376257;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;63,413868;404,000383;3063,571584;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;74,923415;545,146634;4088,310984;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;75,762021;545,697981;3457,073956;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;74,632175;555,086429;4174,752707;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;76,225921;542,752264;4259,194662;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;64,659936;545,251295;4206,509777;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;75,387068;544,171513;4152,602569;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;50,678806;544,995408;4307,904821;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;87,076305;633,227534;4565,664897;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;50,773517;551,397602;4159,46841;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;24;75,13338;541,549642;2844,23824;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;71,947597;444,002469;3327,090289;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;71,218946;442,717509;3355,578887;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;68,991062;440,399087;3330,482098;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;70,59716;435,938882;3647,467194;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;71,44876;455,757454;3367,789827;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;71,816564;441,760525;3424,972763;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;70,185526;442,726842;3342,238644;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;71,831346;449,409462;3420,991662;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;71,654914;444,498981;3296,284792;;;;;;;;;;;
